AmenityCrosswalkValue,EntityCode
Survey|20180508|1|00268|CorporateEvents|1,00268
Survey|20180508|1|01584|Weddings|1,01584
Survey|20180508|1|01063|FitnessCenter|1,01063
Survey|20180508|1|02855|Sauna|1,02855
Survey|20180508|1|02175|Spa|1,02175
Survey|20180508|1|01054|Spa|1,01054
Survey|20180508|1|02595|Sauna|1,02595
Survey|20180508|1|00979|Whirlpool|1,00979
Survey|20180508|1|00448|GolfCourse|3,00448
Survey|20180508|1|00913|GolfCourse|1,00913
Survey|20180508|1|00268|Whirlpool|1,00268
Survey|20180508|1|02840|GolfCourse|1,02840
Survey|20180508|1|00387|GolfServices|1,00387
Survey|20180508|1|00913|GolfServices|1,00913
Survey|20180508|1|00260|SteamRoom|1,00260
Survey|20180508|1|02832|GolfCourse|1,02832
Survey|20180508|1|00259|GolfCourse|1,00259
Survey|20180508|1|02661|GolfCourse|2,02661
Survey|20180508|1|00298|GolfCourse|1,00298
Survey|20180508|1|01724|GolfCourse|1,01724
Survey|20180508|1|01591|GolfCourse|1,01591
Survey|20180508|1|01579|GolfCourse|2,01579
Survey|20180508|1|01212|GolfCourse|1,01212
Survey|20180508|1|00734|GolfCourse|2,00734
Survey|20180508|1|01054|GolfCourse|1,01054
Survey|20180508|1|02773|GolfCourse|2,02773
Survey|20180508|1|00685|GolfCourse|2,00685
Survey|20180508|1|00112|GolfCourse|3,00112
Survey|20180508|1|02703|GolfCourse|1,02703
Survey|20180508|1|00118|GolfCourse|1,00118
Survey|20180508|1|01430|GolfCourse|1,01430
Survey|20180508|1|02834|GolfCourse|1,02834
Survey|20180508|1|02814|GolfCourse|1,02814
Survey|20180508|1|02861|GolfCourse|2,02861
Survey|20180508|1|03070|GolfCourse|1,03070
Survey|20180508|1|00100|Pool|1,00100
Survey|20180508|1|01056|Pool|1,01056
Survey|20180508|1|02814|Pool|1,02814
Survey|20180508|1|01084|Pool|1,01084
Survey|20180508|1|00574|Pool|1,00574
Survey|20180508|1|02816|Pool|1,02816
Survey|20180508|1|03012|Pool|1,03012
Survey|20180508|1|01578|Pool|1,01578
